대여소번호,반납대여소번호,공유횟수
101,104,343
102,107,1060
102,113,622
102,151,394
102,152,809
102,153,366
102,154,595
102,184,390
102,421,444
103,107,437
103,113,391
103,152,595
103,154,472
104,102,341
104,107,340
104,113,553
104,152,354
105,108,342
106,101,302
106,102,360
106,109,880
106,112,330
106,151,398
106,152,570
107,102,724
107,103,348
107,108,333
107,113,1145
107,153,550
107,154,315
107,183,320
107,184,369
108,113,382
108,114,338
109,106,565
110,113,539
112,113,359
112,114,305
113,102,613
113,104,595
113,107,1176
113,108,410
113,112,348
113,116,1681
113,151,312
113,152,375
113,153,857
113,155,652
113,166,604
113,170,397
113,175,304
113,176,629
113,183,2801
113,184,455
113,192,362
113,195,438
113,3102,749
114,113,334
114,130,301
114,183,369
115,3102,300
116,107,344
116,113,1810
116,183,312
117,175,363
117,188,402
118,130,331
118,185,324
121,126,312
122,124,301
122,126,347
124,126,579
124,129,302
124,130,358
124,144,311
125,126,722
125,129,629
126,122,342
126,124,537
126,125,813
126,129,507
126,130,312
126,144,455
126,150,395
128,114,331
128,135,313
128,138,460
128,140,614
128,141,378
129,125,433
129,126,309
130,118,346
130,121,349
131,907,306
133,194,312
138,128,663
139,128,365
140,128,685
141,128,605
142,157,611
144,126,396
144,146,408
144,147,534
144,148,426
145,156,649
145,157,561
146,148,330
147,144,511
148,144,358
150,126,320
151,102,352
151,152,452
152,102,515
152,103,511
152,106,478
152,107,311
152,113,345
152,151,347
152,154,600
152,183,322
152,421,310
152,907,343
152,914,332
153,107,650
153,113,1213
153,183,426
154,102,530
154,103,490
154,107,315
154,151,332
154,152,765
154,153,300
155,113,838
155,175,330
156,145,799
157,145,666
157,156,439
159,126,349
162,128,1012
162,134,545
162,135,539
162,140,671
165,113,465
165,179,446
166,113,854
166,179,651
169,948,328
170,113,640
170,179,430
172,113,469
175,113,386
175,155,307
175,179,328
176,113,733
179,113,484
179,165,377
179,166,485
179,170,332
179,175,320
182,103,329
182,152,308
183,107,342
183,113,3649
183,116,313
183,153,477
184,107,420
184,113,404
184,152,355
184,421,376
185,118,471
185,146,333
192,113,486
194,133,357
195,113,568
196,113,397
202,203,369
202,207,619
202,210,608
202,211,663
203,202,741
203,210,431
203,211,320
203,214,326
205,211,314
206,211,341
206,274,354
207,144,320
207,147,342
207,202,1171
207,210,575
207,211,352
207,215,302
207,216,584
207,217,730
207,218,348
207,221,962
207,222,1129
207,224,324
207,248,532
207,249,439
207,272,337
207,2025,355
207,2219,335
209,224,317
210,201,341
210,202,762
210,203,426
210,207,748
210,213,437
210,217,407
210,222,331
210,224,347
210,274,469
211,202,541
211,203,402
211,206,379
211,207,395
211,209,305
211,216,337
211,217,610
211,259,330
212,203,354
212,206,336
212,213,339
212,222,302
212,259,475
213,203,305
213,210,644
213,274,374
214,203,413
216,207,507
216,210,302
217,207,486
217,210,356
217,211,724
217,259,536
218,211,415
219,259,386
220,259,999
221,207,739
222,207,741
222,210,369
222,217,361
222,223,558
222,224,579
222,225,651
222,259,945
223,222,643
223,259,415
224,209,313
224,210,360
224,222,607
224,259,709
225,221,429
225,222,788
225,223,498
225,259,303
226,222,305
226,259,705
227,228,456
228,227,788
228,247,456
228,267,358
228,268,463
230,231,892
230,232,1452
230,238,523
230,240,376
230,243,645
230,247,365
230,264,363
231,230,1004
232,230,1253
232,243,353
232,262,408
236,263,483
237,252,341
238,230,692
238,245,664
238,247,855
240,230,306
240,262,546
240,263,563
240,275,346
240,284.0,361
241,1961,895
243,230,504
243,232,343
244,247,1486
245,238,633
245,247,419
247,228,544
247,230,480
247,238,932
247,244,1544
247,245,442
247,272,434
248,207,334
252,237,429
253,255,382
257,2050,357
258,210,530
258,274,711
259,212,331
259,217,860
259,219,410
259,220,675
259,222,1223
259,223,443
259,224,592
259,226,688
262,230,315
262,232,336
262,240,449
263,232,305
263,236,622
263,240,356
263,1906,457
264,230,334
267,228,391
268,228,506
272,227,382
274,257,435
274,258,604
274,276,328
276,274,350
277,244,300
278,279,308
278,1961,394
279,278,372
284.0,240,308
300,312,829
302,303,366
302,305,410
302,314,499
302,351,345
302,369,347
302,450,382
303,301,306
303,312,309
303,385,443
304,314,326
307,311,373
308,312,357
308,316,336
311,303,436
311,307,390
311,308,471
312,300,514
312,308,443
312,391,329
314,302,491
314,315,525
315,302,331
315,314,621
316,308,370
316,369,338
327,316,530
328,338,317
334,338,567
338,328,384
338,334,589
339,334,346
339,359,343
340,386,318
341,344,302
341,356,786
342,344,598
342,345,371
342,355,708
344,342,555
344,358,980
351,302,410
354,334,324
355,342,542
355,358,329
356,341,776
356,358,744
358,344,1328
358,355,316
358,356,821
358,359,1039
358,386,351
359,358,980
361,363,370
361,364,438
361,1308,396
362,378,532
363,361,404
363,1308,510
364,361,631
369,302,326
371,347,365
374,375,367
375,374,308
378,362,421
378,568,577
383,362,329
383,568,478
386,340,427
386,358,344
400,408,494
400,409,405
400,414,301
400,415,307
401,409,508
402,408,358
402,409,650
403,409,306
405,415,337
408,400,329
408,415,367
409,400,339
409,401,506
409,402,431
409,412,301
409,415,923
409,417,384
411,415,353
412,409,427
412,415,689
412,417,333
412,421,406
413,418,399
414,409,312
415,400,353
415,405,331
415,408,347
415,409,1414
415,411,494
415,412,917
415,425,340
416,415,304
416,417,399
416,418,455
417,409,642
417,412,465
418,907,498
418,914,420
419,421,537
419,907,368
421,102,313
421,152,363
421,154,320
421,412,310
421,419,463
450,302,568
451,302,347
500,540,484
500,549,322
500,563,303
500,573,568
500,590,454
500,592,1119
500,3508,395
500,3518,356
500,3520,341
500,3523,658
501,502,1258
501,504,568
501,505,423
501,548,329
501,588,417
501,593,345
502,500,321
502,501,1155
502,504,877
502,509,314
502,548,1622
502,565,340
502,585,528
502,588,327
502,590,706
502,593,1340
502,3506,460
503,502,326
503,504,443
503,505,359
503,548,356
504,501,507
504,502,851
504,590,373
505,501,363
505,503,400
505,546,338
505,549,310
505,590,1446
505,592,333
505,3504,461
505,3520,648
507,567,556
508,563,680
509,511,327
509,512,300
509,513,376
509,514,499
509,561,678
509,589,993
511,502,324
511,509,336
511,512,363
511,513,350
511,3515,506
512,511,447
512,514,357
512,525,339
512,567,352
513,509,384
513,514,443
513,582,338
514,509,506
514,512,359
514,513,687
514,567,1016
516,3509,403
520,521,319
521,525,417
525,502,329
525,512,363
525,521,342
525,536,326
525,3511,385
525,3522,338
526,529,494
529,526,590
529,594,715
530,378,310
535,3511,335
536,521,315
536,525,386
537,579,349
537,3522,359
539,3500,382
540,571,488
540,584,405
540,3509,904
542,551,943
543,551,554
548,502,2403
549,573,567
549,3520,342
551,542,878
551,543,550
551,576,557
558,525,321
561,509,831
562,3518,446
563,567,1320
563,584,460
565,3511,367
567,507,521
567,512,327
567,514,837
567,563,1472
567,578,509
567,3508,357
568,378,775
568,383,381
568,613,456
568,3514,424
571,540,547
571,563,491
571,3508,361
571,3509,881
571,3518,405
573,500,697
573,505,320
573,549,323
573,590,344
576,551,473
577,1001,346
578,567,663
579,537,467
583,502,340
584,540,459
584,563,691
584,3509,630
584,3518,316
585,502,405
585,589,1057
588,501,440
588,502,540
589,509,1298
589,585,652
590,500,435
590,502,728
590,504,369
590,505,1188
590,549,358
590,573,401
590,591,377
590,592,2979
590,3501,418
590,3504,300
590,3508,308
590,3520,426
590,3523,1441
591,590,479
591,3523,381
592,500,994
592,505,316
592,590,2384
593,502,1782
594,529,579
602,627,610
602,646,850
602,648,507
609,1308,603
610,631,341
612,1308,601
613,568,457
614,1308,1670
615,1308,363
616,638,368
622,617,313
623,622,420
623,624,346
623,638,1600
623,639,1606
624,631,388
625,3519,424
627,602,869
631,624,420
631,642,361
633,624,331
634,635,459
634,647,308
634,650,356
634,1403,329
635,634,467
635,651,301
637,1354,393
638,623,634
639,623,1468
642,631,318
643,646,353
646,602,1043
646,648,955
648,602,511
648,646,1465
650,634,308
651,635,363
700,1118,350
703,704,378
703,708,977
703,716,891
703,723,345
703,729,424
703,731,319
703,734,405
703,746,439
703,747,304
704,703,472
704,708,462
704,716,569
704,722,441
704,729,385
704,734,376
708,703,1002
708,704,488
708,729,374
716,703,905
716,704,497
716,722,377
719,723,505
722,704,452
722,716,453
723,701,307
723,703,313
723,719,439
723,1141,366
726,731,321
726,744,378
731,703,325
734,703,378
734,704,506
735,744,380
739,1127,342
742,1118,306
744,726,427
744,735,392
746,703,371
747,703,304
800,834,452
802,803,309
805,816,401
806,816,368
811,816,501
813,816,330
815,832,836
816,805,416
816,813,354
816,817,495
816,818,306
816,829,477
816,2002,360
817,816,441
818,807,359
818,816,317
825,2219,525
826,818,372
827,838,691
829,816,349
829,2002,367
831,816,401
832,815,862
834,800,687
838,827,548
901,907,466
902,905,476
903,905,675
904,905,908
905,902,403
905,903,576
905,904,740
905,941,444
905,942,599
905,954,417
906,907,423
906,908,407
906,931,638
906,933,327
906,950,380
907,131,369
907,152,312
907,418,371
907,906,439
907,912,360
907,913,582
907,914,468
907,931,501
908,906,300
911,907,324
911,913,357
911,943,515
912,914,307
913,907,620
913,911,335
913,912,366
913,916,371
913,931,615
913,935,336
914,152,302
914,418,322
914,907,479
914,912,300
916,913,330
917,913,378
917,943,718
931,906,435
931,907,462
931,913,442
932,931,305
933,906,314
933,931,340
935,907,308
941,905,1327
942,905,851
943,907,331
943,917,628
945,905,744
946,926,520
950,906,523
952,949,341
